"ID","ID","ID","ID",Name,Status,Started,Completed,Priority,Start,Due,Assignee,Tag,Created,Created by,Description
,,#60,,Update project backlog based on client feedback,To-Do,,,Medium,25 Jun 2022,25 Jun 2022,,,9 May 2022,Garv Shah,
,,#57,,Update documentation for project so everything is clear,To-Do,,,Medium,25 Jun 2022,26 Jun 2022,,,9 May 2022,Garv Shah,
#126,,,,Sprint 2,To-Do,,,Medium,27 Jun 2022,10 Jul 2022,,,9 May 2022,Garv Shah,
,#127,,,Sprint Planning,To-Do,,,Medium,27 Jun 2022,27 Jun 2022,,,9 May 2022,Garv Shah,
,,#128,,Set sprint goals,To-Do,,,Medium,27 Jun 2022,27 Jun 2022,,,9 May 2022,Garv Shah,
,,#129,,Create sprint backlog (keep feasible for about 2 weeks),To-Do,,,Medium,27 Jun 2022,27 Jun 2022,,,9 May 2022,Garv Shah,
,,#130,,Create quick simple designs for any complex functionality,To-Do,,,Medium,27 Jun 2022,27 Jun 2022,,,9 May 2022,Garv Shah,
,#131,,,Sprint,To-Do,,,Medium,28 Jun 2022,6 Jul 2022,,,9 May 2022,Garv Shah,
,,#132,,Daily Scrum + Standup (short blog post for me),To-Do,,,Medium,28 Jun 2022,28 Jun 2022,,,9 May 2022,Garv Shah,
,#133,,,Sprint Review,To-Do,,,Medium,7 Jul 2022,8 Jul 2022,,,9 May 2022,Garv Shah,
,,#134,,Create demo to show Ms. Cotugno,To-Do,,,Medium,7 Jul 2022,7 Jul 2022,,,9 May 2022,Garv Shah,
,,#135,,Document product backlog completed,To-Do,,,Medium,7 Jul 2022,7 Jul 2022,,,9 May 2022,Garv Shah,
,,#136,,Update product backlog for sprint,To-Do,,,Medium,8 Jul 2022,8 Jul 2022,,,9 May 2022,Garv Shah,
,,#137,,Create beta release to get feedback from clients,To-Do,,,Medium,8 Jul 2022,8 Jul 2022,,,9 May 2022,Garv Shah,
,#138,,,Sprint Retrospective,To-Do,,,Medium,9 Jul 2022,10 Jul 2022,,,9 May 2022,Garv Shah,
,,#139,,Create blog post for what went well/didn't etc,To-Do,,,Medium,9 Jul 2022,9 Jul 2022,,,9 May 2022,Garv Shah,
,,#140,,Update project backlog based on client feedback,To-Do,,,Medium,9 Jul 2022,9 Jul 2022,,,9 May 2022,Garv Shah,
,,#141,,Update documentation for project so everything is clear,To-Do,,,Medium,9 Jul 2022,10 Jul 2022,,,9 May 2022,Garv Shah,
#142,,,,Sprint 3,To-Do,,,Medium,11 Jul 2022,24 Jul 2022,,,9 May 2022,Garv Shah,
,#143,,,Sprint Planning,To-Do,,,Medium,11 Jul 2022,11 Jul 2022,,,9 May 2022,Garv Shah,
,,#144,,Set sprint goals,To-Do,,,Medium,11 Jul 2022,11 Jul 2022,,,9 May 2022,Garv Shah,
,,#145,,Create sprint backlog (keep feasible for about 2 weeks),To-Do,,,Medium,11 Jul 2022,11 Jul 2022,,,9 May 2022,Garv Shah,
,,#146,,Create quick simple designs for any complex functionality,To-Do,,,Medium,11 Jul 2022,11 Jul 2022,,,9 May 2022,Garv Shah,
,#147,,,Sprint,To-Do,,,Medium,12 Jul 2022,20 Jul 2022,,,9 May 2022,Garv Shah,
,,#148,,Daily Scrum + Standup (short blog post for me),To-Do,,,Medium,12 Jul 2022,12 Jul 2022,,,9 May 2022,Garv Shah,
,#149,,,Sprint Review,To-Do,,,Medium,21 Jul 2022,22 Jul 2022,,,9 May 2022,Garv Shah,
,,#150,,Create demo to show Ms. Cotugno,To-Do,,,Medium,21 Jul 2022,21 Jul 2022,,,9 May 2022,Garv Shah,
,,#151,,Document product backlog completed,To-Do,,,Medium,21 Jul 2022,21 Jul 2022,,,9 May 2022,Garv Shah,
,,#152,,Update product backlog for sprint,To-Do,,,Medium,22 Jul 2022,22 Jul 2022,,,9 May 2022,Garv Shah,
,,#153,,Create beta release to get feedback from clients,To-Do,,,Medium,22 Jul 2022,22 Jul 2022,,,9 May 2022,Garv Shah,
,#154,,,Sprint Retrospective,To-Do,,,Medium,23 Jul 2022,24 Jul 2022,,,9 May 2022,Garv Shah,
,,#155,,Create blog post for what went well/didn't etc,To-Do,,,Medium,23 Jul 2022,23 Jul 2022,,,9 May 2022,Garv Shah,
,,#156,,Update project backlog based on client feedback,To-Do,,,Medium,23 Jul 2022,23 Jul 2022,,,9 May 2022,Garv Shah,
,,#157,,Update documentation for project so everything is clear,To-Do,,,Medium,23 Jul 2022,24 Jul 2022,,,9 May 2022,Garv Shah,
